iter	RMSE
0	1.12259708
1	1.092219269
2	1.063273699
3	1.035310391
4	1.009436154
5	0.9855244144
6	0.9637023093
7	0.9426570243
8	0.922823507
9	0.9043248917
10	0.8869740025
11	0.871082062
12	0.8558953781
13	0.8421508303
14	0.8284969517
15	0.8162334571
16	0.8045790278
17	0.7935423202
18	0.783495262
19	0.7737327603
20	0.7646368611
21	0.7560964785
22	0.7482936569
23	0.7416912056
24	0.7347601148
25	0.728332468
26	0.7222109785
27	0.7167258292
28	0.7114736702
29	0.7065906638
30	0.7019541531
31	0.6983353765
32	0.6942285746
33	0.690451954
34	0.6867786347
35	0.6832852818
36	0.6805465881
37	0.6775890626
38	0.6746496073
39	0.6719505386
40	0.6690597066
41	0.6666901282
42	0.6643241385
43	0.6620633532
44	0.6598674121
45	0.6579168067
46	0.6558977331
47	0.65421765
48	0.652457565
49	0.6509223562
50	0.649518525
51	0.6481517084
52	0.6467157439
53	0.6450864696
54	0.6437284556
55	0.6424141978
56	0.641219503
57	0.6400689023
58	0.6390896992
59	0.6380931316
60	0.6371405143
61	0.6360652361
62	0.6348757928
63	0.6336292126
64	0.6325620414
65	0.6314430488
66	0.6304341123
67	0.6294408777
68	0.6285635101
69	0.6277543841
70	0.6270011136
71	0.626195558
72	0.6253609777
73	0.6246786579
74	0.6240929024
75	0.6234132982
76	0.6228980465
77	0.6222829106
78	0.6216579522
79	0.621005912
80	0.6204652933
81	0.620108651
82	0.6194439098
83	0.6189715709
84	0.6182251954
85	0.6176769672
86	0.6172515752
87	0.6167336353
88	0.6161492528
89	0.6155599959
90	0.6149699348
91	0.6144530106
92	0.6139951507
93	0.6135506786
94	0.6131670307
95	0.6128082349
96	0.6122038788
97	0.6118497106
98	0.6113797987
99	0.6109199625
