iter	Passed	Remaining
0	142	14143
1	150	7373
2	158	5112
3	166	3987
4	173	3298
5	181	2844
6	191	2542
7	199	2290
8	206	2089
9	214	1930
10	221	1795
11	229	1683
12	237	1590
13	245	1508
14	253	1435
15	261	1372
16	269	1315
17	277	1263
18	285	1215
19	293	1173
20	301	1133
21	309	1095
22	317	1061
23	325	1029
24	333	999
25	340	970
26	348	943
27	356	917
28	364	893
29	372	869
30	381	848
31	389	826
32	399	812
33	407	791
34	416	772
35	424	754
36	432	735
37	440	718
38	448	701
39	456	684
40	464	668
41	472	653
42	481	638
43	489	623
44	498	609
45	506	594
46	515	580
47	523	567
48	532	554
49	540	540
50	548	527
51	557	514
52	565	501
53	573	488
54	582	476
55	590	463
56	598	451
57	606	439
58	614	427
59	623	415
60	631	403
61	639	391
62	647	380
63	655	368
64	664	357
65	674	347
66	683	336
67	691	325
68	699	314
69	707	303
70	715	292
71	723	281
72	732	270
73	740	260
74	748	249
75	757	239
76	765	228
77	773	218
78	782	208
79	790	197
80	798	187
81	807	177
82	815	167
83	823	156
84	832	146
85	840	136
86	849	126
87	857	116
88	865	106
89	872	96
90	879	87
91	887	77
92	895	67
93	904	57
94	912	48
95	920	38
96	929	28
97	937	19
98	945	9
99	954	0
