iter	RMSE
0	1.091428253
1	1.033419071
2	0.9824218092
3	0.9360581636
4	0.8949650907
5	0.8617889998
6	0.830453471
7	0.8045196984
8	0.7810993554
9	0.7607481381
10	0.742169746
11	0.726275473
12	0.7128432624
13	0.7010005726
14	0.6907463635
15	0.6817362551
16	0.6737815265
17	0.6661712012
18	0.6594363731
19	0.6537538493
20	0.6488999258
21	0.6441866581
22	0.6399148266
23	0.6363095327
24	0.6330247988
25	0.629806965
26	0.626944844
27	0.6245296739
28	0.6220926627
29	0.6199972621
30	0.6176292068
31	0.6157458967
32	0.6138692704
33	0.6121968908
34	0.6104043807
35	0.6088822306
36	0.6072348441
37	0.605762252
38	0.6044394637
39	0.603241416
40	0.6020108906
41	0.6004690377
42	0.5991547767
43	0.597955912
44	0.5967039992
45	0.5952641363
46	0.5940569517
47	0.5931661546
48	0.5922894996
49	0.5913458022
50	0.5902481162
51	0.5894519967
52	0.5882696736
53	0.5874755288
54	0.5863237558
55	0.5855930388
56	0.5845871079
57	0.5839666542
58	0.5833850034
59	0.5827033648
60	0.5818488084
61	0.5810788737
62	0.5801319574
63	0.5794170468
64	0.5788614907
65	0.5781579015
66	0.5772659441
67	0.5765760255
68	0.5758458125
69	0.5750670069
70	0.5744861439
71	0.5738504254
72	0.5734154435
73	0.5727104453
74	0.5719118235
75	0.5711952767
76	0.5703555554
77	0.5696330598
78	0.5689871051
79	0.5685326039
80	0.5679365219
81	0.5673857046
82	0.566961111
83	0.5664242586
84	0.5658849407
85	0.564778374
86	0.56423555
87	0.5637641898
88	0.5631653615
89	0.5624648641
90	0.5618574626
91	0.5610416322
92	0.5601941908
93	0.5594184954
94	0.558780546
95	0.5579502122
96	0.5573381237
97	0.5566616074
98	0.5561639016
99	0.5556819789
