iter	Passed	Remaining
0	30	2985
1	60	2982
2	88	2876
3	118	2854
4	146	2778
5	176	2767
6	203	2699
7	228	2624
8	255	2588
9	284	2564
10	312	2530
11	338	2479
12	364	2439
13	390	2400
14	426	2414
15	455	2388
16	482	2355
17	511	2329
18	538	2295
19	565	2262
20	595	2240
21	626	2221
22	655	2195
23	682	2162
24	710	2130
25	737	2098
26	764	2065
27	792	2037
28	821	2010
29	847	1978
30	873	1943
31	900	1914
32	927	1883
33	953	1850
34	978	1817
35	1005	1787
36	1034	1761
37	1064	1736
38	1089	1703
39	1115	1672
40	1139	1640
41	1165	1609
42	1191	1579
43	1219	1552
44	1248	1525
45	1273	1495
46	1299	1465
47	1327	1437
48	1355	1411
49	1383	1383
50	1411	1355
51	1440	1329
52	1465	1299
53	1493	1271
54	1518	1242
55	1545	1214
56	1572	1186
57	1596	1156
58	1621	1126
59	1646	1097
60	1673	1069
61	1699	1041
62	1724	1013
63	1751	985
64	1778	957
65	1804	929
66	1830	901
67	1858	874
68	1886	847
69	1910	818
70	1935	790
71	1961	762
72	1990	736
73	2018	709
74	2043	681
75	2067	652
76	2090	624
77	2115	596
78	2139	568
79	2165	541
80	2189	513
81	2214	486
82	2240	458
83	2265	431
84	2290	404
85	2315	376
86	2339	349
87	2367	322
88	2392	295
89	2419	268
90	2443	241
91	2469	214
92	2496	187
93	2524	161
94	2557	134
95	2588	107
96	2617	80
97	2649	54
98	2685	27
99	2715	0
